loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
355000,106,,107.236,>60%,745000,360,55-64,White,Female,Hispanic or Latino,3,0
205000,194,,104.017,>60%,755000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
25000,60,,,,425000,180,25-34,White,Male,Not Hispanic or Latino,3,0
105000,95,,33.33,45,305000,360,55-64,White,Female,Not Hispanic or Latino,3,0
75000,29,,14.53,>60%,515000,360,65-74,White,Female,Not Hispanic or Latino,3,0
35000,122,,95,40,255000,120,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
55000,117,,59.359,36,425000,120,35-44,Race Not Available,Male,Ethnicity Not Available,3,0
35000,163,,15,30%-<36%,205000,120,45-54,White,Joint,Not Hispanic or Latino,3,0
365000,81,,96.4999,50%-60%,365000,372,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
25000,72,,25.073,50%-60%,805000,360,45-54,White,Female,Not Hispanic or Latino,3,0
155000,287,,67.31,36,1135000,300,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
105000,70,,46.47,>60%,625000,360,35-44,White,Female,Not Hispanic or Latino,3,0
35000,63,,79.758,>60%,245000,120,35-44,White,Male,Not Hispanic or Latino,3,0
35000,21,,71.982,>60%,295000,180,55-64,Black or African American,Female,Ethnicity Not Available,3,0
45000,60,,82.403,50%-60%,355000,120,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
55000,76,,56.82,37,85000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
55000,106,,78.827,>60%,355000,180,35-44,White,Female,Not Hispanic or Latino,3,0
15000,100,,4.696,<20%,315000,120,35-44,White,Male,Hispanic or Latino,3,0
35000,38,,69,>60%,285000,120,25-34,Native Hawaiian or Other Pacific Islander,Female,Hispanic or Latino,3,0
55000,65,,75.785,50%-60%,195000,180,55-64,White,Male,Not Hispanic or Latino,3,0
15000,0,,65.2,<20%,285000,60,35-44,White,Male,Not Hispanic or Latino,3,0
75000,156,,62.354,40,875000,360,45-54,White,Male,Not Hispanic or Latino,3,0
105000,36,,,>60%,,300,45-54,White,Joint,Not Hispanic or Latino,3,0
505000,500,,100,<20%,505000,150,35-44,American Indian or Alaska Native,Male,Hispanic or Latino,3,0
135000,43,,45.333,>60%,305000,360,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
305000,8,,39.2,>60%,765000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
355000,71,,99.24,>60%,365000,360,35-44,White,Joint,Hispanic or Latino,3,0
45000,126,,,30%-<36%,,84,55-64,White,Male,Not Hispanic or Latino,3,0
535000,65,,75.714,>60%,705000,360,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
35000,60,,41.45,>60%,225000,360,55-64,White,Male,Hispanic or Latino,3,0
